student_key,course_key,total_events,active_days,unique_materials,after_hours_events,weekend_events,top_material_type,lecture_material_views,assignment_views,course_page_views,forum_views,quiz_views,avg_events_per_active_day,events_per_week,weekend_ratio,after_hours_ratio,assessments_attempted,avg_score_so_far,max_score_so_far,min_score_so_far,final_mark,pass_assessment_count,latest_assessment_score,fail_assessment_count,early_exercise_avg,late_exercise_avg,assignment_avg_score,score_trend,grade_code_mode,academic_period_key,snapshot_date
1,1,1086,97,27,291,126,Assignment,5,939,142,0,0,11.195876288659793,78.37113402061856,0.11602209944751381,0.26795580110497236,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,No Result,2,2026-07-07
2,1,549,53,38,256,114,Course Page,145,184,192,15,0,10.358490566037736,72.50943396226415,0.20765027322404372,0.4663023679417122,30.0,70.53999999999999,100.0,0.0,41.0,20,44.8,10,95.0,72.0,34.9,-23.0,SA,2,2026-07-07
3,1,236,30,20,91,33,Course Page,50,92,93,1,0,7.866666666666666,55.06666666666667,0.13983050847457626,0.3855932203389831,36.0,58.083333333333336,100.0,0.0,0.0,27,0.0,9,66.0,63.333333333333336,41.666666666666664,-2.6666666666666643,DX,2,2026-07-07
4,1,183,33,21,72,20,Course Page,54,45,68,6,0,5.545454545454546,38.81818181818182,0.1092896174863388,0.39344262295081966,30.0,83.28666666666666,100.0,60.0,49.0,30,61.9,0,79.0,98.0,68.95,19.0,S,2,2026-07-07
5,1,356,55,25,169,50,Course Page,61,130,165,0,0,6.472727272727273,45.30909090909091,0.1404494382022472,0.4747191011235955,30.0,86.00666666666666,100.0,10.0,86.0,28,93.05,2,71.0,97.0,91.525,26.0,HD,2,2026-07-07
6,1,852,92,59,469,168,Course Page,72,300,428,10,0,9.26086956521739,64.82608695652173,0.19718309859154928,0.5504694835680751,45.0,81.62666666666667,100.0,54.0,0.0,45,60.45,0,87.0,94.0,57.225,7.0,DX,2,2026-07-07
7,1,1292,123,34,121,405,Course Page,379,194,695,16,0,10.504065040650406,73.52845528455283,0.31346749226006193,0.0936532507739938,30.0,53.53333333333333,80.0,31.0,46.0,18,68.0,12,51.0,59.0,49.5,8.0,S,2,2026-07-07
8,1,301,48,19,244,87,Course Page,63,72,151,0,0,6.270833333333333,43.895833333333336,0.28903654485049834,0.8106312292358804,30.0,57.940000000000005,94.0,0.0,46.0,22,71.05,8,46.0,52.0,82.525,6.0,S,2,2026-07-07
9,1,365,47,22,125,25,Assignment,58,160,144,1,0,7.76595744680851,54.361702127659576,0.0684931506849315,0.3424657534246575,30.0,67.83733333333333,100.0,0.0,75.0,24,52.28,6,94.0,40.0,70.14,-54.0,D,2,2026-07-07
10,1,158,23,14,87,24,Course Page,14,48,90,3,0,6.869565217391305,48.08695652173913,0.1518987341772152,0.5506329113924051,22.0,60.08181818181818,95.0,10.0,32.0,12,84.7,10,56.25,70.0,64.85,13.75,N,2,2026-07-07
11,1,229,35,17,92,55,Course Page,9,68,146,2,0,6.542857142857143,45.8,0.24017467248908297,0.4017467248908297,28.0,77.07142857142857,100.0,0.0,33.0,24,0.0,4,88.0,78.0,55.333333333333336,-10.0,N,2,2026-07-07
12,1,1221,84,41,307,252,Course Page,260,268,630,30,0,14.535714285714286,101.75,0.20638820638820637,0.25143325143325146,30.0,79.43333333333334,100.0,40.0,75.0,28,87.0,2,86.0,79.0,71.0,-7.0,D,2,2026-07-07
13,1,187,38,21,80,27,Course Page,37,41,67,36,0,4.921052631578948,34.44736842105263,0.1443850267379679,0.42780748663101603,30.0,98.49333333333334,100.0,88.7,76.0,30,88.7,0,100.0,100.0,94.35,0.0,D,2,2026-07-07
14,1,141,28,18,20,16,Assignment,34,39,39,27,0,5.035714285714286,35.25,0.11347517730496454,0.14184397163120568,28.0,82.82142857142857,100.0,0.0,50.0,26,0.0,2,90.0,91.0,54.666666666666664,1.0,P,2,2026-07-07
15,1,1194,97,48,851,231,Assignment,41,658,477,12,0,12.309278350515465,86.16494845360825,0.1934673366834171,0.7127303182579564,30.0,88.74666666666667,100.0,70.0,59.0,30,81.1,0,92.0,94.0,77.05,2.0,P,2,2026-07-07
16,1,733,68,26,439,250,Course Page,200,137,384,1,0,10.779411764705882,75.45588235294119,0.34106412005457026,0.5989085948158254,30.0,68.83333333333333,100.0,0.0,51.0,24,20.25,6,86.0,66.0,49.125,-20.0,P,2,2026-07-07
17,1,43,8,9,15,13,Course Page,7,17,19,0,0,5.375,37.625,0.3023255813953488,0.3488372093023256,14.0,35.857142857142854,100.0,0.0,5.0,6,0.0,8,73.33333333333333,0.0,3.0,0.0,N,2,2026-07-07
18,1,49,5,9,2,48,Course Page,0,8,41,0,0,9.8,68.6,0.9795918367346939,0.04081632653061224,12.0,0.0,0.0,0.0,0.0,0,0.0,12,0.0,0.0,0.0,0.0,N,2,2026-07-07
19,1,535,71,32,216,111,Course Page,169,76,247,20,0,7.535211267605634,52.74647887323944,0.20747663551401868,0.40373831775700936,30.0,93.65333333333334,100.0,70.0,83.0,30,93.15,0,90.0,97.0,94.075,7.0,HD,2,2026-07-07
