student_key,course_key,total_events,active_days,unique_materials,after_hours_events,weekend_events,top_material_type,lecture_material_views,assignment_views,course_page_views,forum_views,quiz_views,avg_events_per_active_day,events_per_week,weekend_ratio,after_hours_ratio,assessments_attempted,avg_score_so_far,max_score_so_far,min_score_so_far,final_mark,pass_assessment_count,latest_assessment_score,fail_assessment_count,early_exercise_avg,late_exercise_avg,assignment_avg_score,score_trend,grade_code_mode,snapshot_date
25,1,382,49,30,148,43,Course Page,92,101,182,2,0,7.795918367346939,54.57142857142857,0.112565445026178,0.387434554973822,15.0,77.36,100.0,46.2,40.0,13,46.2,2,81.0,83.0,64.6,2.0,SA,2026-06-23
26,1,415,47,37,205,80,Lecture Material,156,81,131,38,0,8.829787234042554,61.80851063829787,0.1927710843373494,0.4939759036144578,12.0,38.083333333333336,70.0,0.0,18.0,4,0.0,8,56.666666666666664,36.0,24.0,-20.666666666666664,N,2026-06-23
27,1,266,37,17,58,37,Course Page,76,62,128,0,0,7.1891891891891895,50.32432432432432,0.13909774436090225,0.21804511278195488,13.0,51.684615384615384,80.0,30.0,24.0,6,46.45,7,60.0,50.0,44.225,-10.0,N,2026-06-23
28,1,7,3,4,3,0,Course Page,0,3,4,0,0,2.3333333333333335,16.333333333333336,0.0,0.42857142857142855,4.0,26.125,95.0,0.0,2.0,1,0.0,3,0.0,95.0,0.0,0.0,N,2026-06-23
29,1,379,49,37,83,71,Course Page,81,131,147,19,0,7.73469387755102,54.142857142857146,0.18733509234828497,0.21899736147757257,14.0,75.61428571428571,100.0,56.05,59.0,14,56.05,0,83.0,85.0,57.025,2.0,P,2026-06-23
30,1,111,26,18,40,35,Course Page,15,41,49,3,0,4.269230769230769,29.884615384615383,0.3153153153153153,0.36036036036036034,9.0,41.666666666666664,95.0,5.5,17.0,4,5.5,5,52.5,0.0,36.0,0.0,N,2026-06-23
31,1,362,46,37,114,38,Course Page,95,117,130,11,0,7.869565217391305,55.08695652173913,0.10497237569060773,0.3149171270718232,15.0,90.15333333333334,100.0,65.8,72.0,15,65.8,0,97.4,90.0,80.4,-7.400000000000006,D,2026-06-23
32,1,450,59,50,32,54,Assignment,44,226,161,15,0,7.627118644067797,53.389830508474574,0.12,0.07111111111111111,14.0,84.09285714285714,100.0,59.0,75.0,14,59.4,0,91.25,98.0,59.2,6.75,D,2026-06-23
33,1,317,43,31,69,101,Course Page,56,72,166,17,0,7.372093023255814,51.604651162790695,0.3186119873817035,0.21766561514195584,15.0,88.39666666666668,100.0,60.0,49.0,15,91.3,0,78.0,100.0,86.7375,22.0,S,2026-06-23
34,1,501,58,28,365,130,Course Page,90,166,230,13,0,8.637931034482758,60.4655172413793,0.25948103792415167,0.7285429141716567,13.0,76.96153846153847,100.0,20.0,44.0,11,83.0,2,81.0,73.33333333333333,78.25,-7.666666666666671,SA,2026-06-23
35,1,338,51,34,46,17,Course Page,83,113,123,6,0,6.627450980392157,46.3921568627451,0.05029585798816568,0.13609467455621302,15.0,84.97333333333333,100.0,70.35,48.0,15,70.35,0,87.8,90.0,74.175,2.200000000000003,S,2026-06-23
36,1,402,48,30,141,60,Course Page,98,87,188,0,0,8.375,58.625,0.14925373134328357,0.35074626865671643,15.0,67.6,90.0,35.0,56.0,13,64.5,2,67.0,63.0,74.75,-4.0,P,2026-06-23
37,1,212,36,15,16,4,Course Page,34,60,115,3,0,5.888888888888889,41.22222222222222,0.018867924528301886,0.07547169811320754,14.0,77.27142857142857,95.0,55.0,54.0,14,81.4,0,79.0,73.75,80.7,-5.25,P,2026-06-23
38,1,846,84,39,256,166,Course Page,151,242,403,20,0,10.071428571428571,70.5,0.19621749408983452,0.30260047281323876,15.0,67.25333333333333,92.0,35.0,45.0,12,79.65,3,62.0,59.0,85.825,-3.0,S,2026-06-23
39,1,211,50,37,41,40,Lecture Material,70,58,59,6,0,4.22,29.54,0.1895734597156398,0.1943127962085308,15.0,81.94266666666667,100.0,61.57,70.0,15,61.57,0,94.0,82.0,65.285,-12.0,D,2026-06-23
40,1,321,40,22,154,30,Assignment,31,178,111,1,0,8.025,56.175,0.09345794392523364,0.4797507788161994,14.0,62.392857142857146,100.0,19.0,34.0,12,19.0,2,75.0,72.5,35.5,-2.5,N,2026-06-23
41,1,409,43,27,225,101,Course Page,80,122,196,10,0,9.511627906976743,66.5813953488372,0.2469437652811736,0.5501222493887531,10.0,38.9,60.0,0.0,15.0,5,46.0,5,40.0,55.0,30.666666666666668,15.0,N,2026-06-23
42,1,266,42,20,128,22,Assignment,34,130,101,1,0,6.333333333333333,44.333333333333336,0.08270676691729323,0.48120300751879697,13.0,84.34615384615384,100.0,60.0,62.0,13,60.0,0,91.0,93.33333333333333,72.0,2.3333333333333286,C,2026-06-23
43,1,611,63,36,334,99,Course Page,113,77,402,1,0,9.698412698412698,67.88888888888889,0.16202945990180032,0.546644844517185,14.0,82.27857142857144,100.0,45.0,43.0,13,85.95,1,85.0,88.0,73.475,3.0,SA,2026-06-23
44,1,367,38,26,107,75,Course Page,90,96,174,7,0,9.657894736842104,67.60526315789474,0.20435967302452315,0.29155313351498635,13.0,83.9076923076923,100.0,67.9,60.0,13,67.9,0,93.0,88.33333333333333,71.95,-4.666666666666671,C,2026-06-23
45,1,478,62,56,257,73,Assignment,68,193,193,8,0,7.709677419354839,53.967741935483865,0.15271966527196654,0.5376569037656904,15.0,89.08666666666666,100.0,65.0,71.0,15,79.15,0,88.0,92.0,86.575,4.0,D,2026-06-23
46,1,265,40,22,79,64,Course Page,74,59,118,13,0,6.625,46.375,0.24150943396226415,0.2981132075471698,15.0,72.78666666666666,90.0,40.0,46.0,14,69.65,1,69.0,82.0,65.325,13.0,S,2026-06-23
47,1,330,53,26,156,115,Course Page,20,138,163,6,0,6.226415094339623,43.58490566037736,0.3484848484848485,0.4727272727272727,15.0,83.44666666666667,100.0,60.0,43.0,15,75.85,0,81.0,87.0,81.925,6.0,SA,2026-06-23
48,1,384,48,32,109,98,Course Page,121,96,160,1,0,8.0,56.0,0.2552083333333333,0.2838541666666667,15.0,72.25733333333332,100.0,25.0,48.0,12,51.43,3,86.0,56.0,75.715,-30.0,S,2026-06-23
49,1,439,34,30,366,158,Course Page,151,56,192,32,0,12.911764705882353,90.38235294117648,0.35990888382687924,0.8337129840546698,9.0,63.333333333333336,100.0,29.0,26.0,8,64.5,1,65.0,80.0,62.75,15.0,N,2026-06-23
50,1,254,35,41,64,8,Lecture Material,84,37,75,36,0,7.257142857142857,50.8,0.031496062992125984,0.25196850393700787,13.0,46.2,84.0,20.0,60.0,6,51.3,7,40.0,33.333333333333336,67.65,-6.666666666666664,C,2026-06-23
51,1,270,57,27,125,41,Course Page,52,94,106,12,0,4.7368421052631575,33.15789473684211,0.15185185185185185,0.46296296296296297,14.0,87.73571428571428,100.0,50.0,82.0,14,97.9,0,89.0,82.5,93.95,-6.5,HD,2026-06-23
52,1,244,32,23,120,39,Lecture Material,95,36,94,10,0,7.625,53.375,0.1598360655737705,0.4918032786885246,15.0,71.03333333333333,100.0,50.0,62.0,15,68.0,0,82.0,67.0,61.5,-15.0,C,2026-06-23
53,1,267,42,21,60,79,Course Page,76,66,121,4,0,6.357142857142857,44.5,0.2958801498127341,0.2247191011235955,12.0,57.03333333333333,100.0,19.7,37.0,7,19.7,5,72.0,50.0,44.6,-22.0,N,2026-06-23
54,1,748,69,41,322,144,Course Page,91,227,378,1,0,10.840579710144928,75.88405797101449,0.1925133689839572,0.4304812834224599,13.0,74.99230769230769,100.0,30.0,41.0,10,76.45,3,67.5,97.5,62.225,30.0,SA,2026-06-23
55,1,711,68,25,147,179,Course Page,50,94,552,6,0,10.455882352941176,73.19117647058825,0.2517580872011252,0.20675105485232068,11.0,45.13636363636363,75.0,0.0,22.0,4,44.0,7,48.75,20.0,59.5,-28.75,N,2026-06-23
56,1,261,40,25,71,64,Course Page,39,99,113,8,0,6.525,45.675,0.24521072796934865,0.2720306513409962,15.0,78.56666666666666,100.0,0.0,60.0,14,84.0,1,92.0,59.0,87.0,-33.0,C,2026-06-23
57,1,176,38,16,78,22,Course Page,12,45,119,0,0,4.631578947368421,32.421052631578945,0.125,0.4431818181818182,6.0,57.333333333333336,100.0,10.0,47.0,5,62.0,1,100.0,0.0,58.5,0.0,S,2026-06-23
58,1,387,46,28,135,68,Course Page,106,46,223,11,0,8.41304347826087,58.891304347826086,0.17571059431524547,0.3488372093023256,12.0,26.375,55.0,0.0,20.0,4,53.75,8,17.5,6.666666666666667,54.375,-10.833333333333332,N,2026-06-23
59,1,221,28,16,77,28,Course Page,50,48,123,0,0,7.892857142857143,55.25,0.12669683257918551,0.34841628959276016,9.0,55.67777777777778,85.0,29.0,19.0,6,36.05,3,78.33333333333333,55.0,45.525,-23.33333333333333,N,2026-06-23
60,1,455,69,27,180,125,Course Page,46,177,214,15,0,6.594202898550725,46.15942028985507,0.27472527472527475,0.3956043956043956,15.0,90.91333333333334,100.0,80.0,65.0,15,84.15,0,91.8,91.0,89.575,-0.7999999999999972,C,2026-06-23
61,1,280,49,34,118,59,Lecture Material,106,64,88,14,0,5.714285714285714,40.0,0.21071428571428572,0.42142857142857143,15.0,91.0,100.0,60.0,83.0,15,80.0,0,98.0,88.0,85.5,-10.0,HD,2026-06-23
62,1,220,37,28,98,71,Course Page,50,58,105,4,0,5.945945945945946,41.62162162162162,0.32272727272727275,0.44545454545454544,15.0,74.58,95.0,50.0,48.0,15,88.35,0,79.0,69.0,76.175,-10.0,S,2026-06-23
63,1,347,53,31,118,41,Course Page,49,77,204,5,0,6.547169811320755,45.83018867924528,0.11815561959654179,0.3400576368876081,14.0,79.5,100.0,40.0,46.0,13,65.5,1,88.0,75.0,74.75,-13.0,S,2026-06-23
64,1,551,30,28,345,60,Course Page,76,49,410,9,0,18.366666666666667,128.56666666666666,0.1088929219600726,0.6261343012704175,10.0,48.730000000000004,80.0,10.0,23.0,7,65.65,3,40.0,50.0,61.325,10.0,N,2026-06-23
65,1,408,50,34,165,38,Course Page,56,137,180,15,0,8.16,57.12,0.09313725490196079,0.40441176470588236,15.0,83.24666666666667,95.0,58.0,58.0,15,88.4,0,83.8,90.0,73.2,6.200000000000003,P,2026-06-23
66,1,213,44,24,39,47,Lecture Material,77,59,74,3,0,4.840909090909091,33.88636363636364,0.22065727699530516,0.18309859154929578,15.0,74.21333333333334,100.0,30.0,46.0,14,72.35,1,66.0,77.0,81.675,11.0,S,2026-06-23
67,1,193,18,42,172,40,Assignment,39,110,34,7,0,10.722222222222221,75.05555555555554,0.20725388601036268,0.8911917098445595,15.0,87.22666666666667,100.0,67.7,70.0,15,67.7,0,96.0,86.0,76.85,-10.0,D,2026-06-23
68,1,503,74,31,73,85,Course Page,85,69,342,2,0,6.797297297297297,47.58108108108108,0.16898608349900596,0.14512922465208747,15.0,75.48666666666666,100.0,30.0,44.0,12,41.65,3,72.0,90.0,60.325,18.0,SA,2026-06-23
69,1,151,33,22,57,12,Course Page,26,46,78,0,0,4.575757575757576,32.03030303030303,0.07947019867549669,0.37748344370860926,15.0,71.59466666666667,100.0,47.21,58.0,13,47.21,2,74.0,75.0,63.605000000000004,1.0,P,2026-06-23
70,1,463,46,24,105,76,Course Page,96,89,268,8,0,10.065217391304348,70.45652173913044,0.16414686825053995,0.2267818574514039,15.0,95.83733333333333,100.0,88.28,85.0,15,88.28,0,98.0,96.0,92.64,-2.0,HD,2026-06-23
71,1,91,20,14,38,25,Assignment,4,58,24,5,0,4.55,31.849999999999998,0.27472527472527475,0.4175824175824176,14.0,54.642857142857146,80.0,0.0,30.0,10,66.0,4,55.0,42.0,73.0,-13.0,N,2026-06-23
72,1,452,50,31,192,33,Course Page,80,149,207,8,0,9.04,63.279999999999994,0.07300884955752213,0.4247787610619469,15.0,75.97333333333333,100.0,40.0,66.0,14,96.3,1,80.0,62.0,89.65,-18.0,C,2026-06-23
73,1,252,39,35,169,48,Assignment,26,106,99,16,0,6.461538461538462,45.23076923076923,0.19047619047619047,0.6706349206349206,10.0,53.4,100.0,0.0,11.0,5,0.0,5,80.0,75.0,9.333333333333334,-5.0,N,2026-06-23
74,1,327,60,18,149,59,Course Page,53,60,209,0,0,5.45,38.15,0.18042813455657492,0.45565749235474007,15.0,76.5,95.0,30.0,54.0,14,50.0,1,76.0,81.0,71.0,5.0,P,2026-06-23
75,1,494,65,24,261,106,Course Page,21,232,240,0,0,7.6,53.199999999999996,0.2145748987854251,0.52834008097166,14.0,73.39285714285714,100.0,40.0,55.0,11,41.0,3,70.0,93.75,57.5,23.75,P,2026-06-23
76,1,187,29,28,42,24,Assignment,27,78,78,1,0,6.448275862068965,45.137931034482754,0.12834224598930483,0.22459893048128343,15.0,64.23333333333333,100.0,20.0,53.0,11,45.0,4,76.0,61.0,52.5,-15.0,P,2026-06-23
77,1,220,35,24,90,28,Course Page,69,45,85,15,0,6.285714285714286,44.0,0.12727272727272726,0.4090909090909091,10.0,70.47,100.0,38.0,50.0,9,89.35,1,70.0,100.0,71.675,30.0,P,2026-06-23
78,1,445,66,27,247,87,Course Page,56,56,321,5,0,6.742424242424242,47.196969696969695,0.19550561797752808,0.5550561797752809,14.0,76.72142857142856,100.0,50.0,39.0,14,73.3,0,71.25,78.0,82.9,6.75,N,2026-06-23
79,1,375,47,29,104,82,Course Page,116,103,145,3,0,7.9787234042553195,55.851063829787236,0.21866666666666668,0.2773333333333333,14.0,70.85714285714286,100.0,40.0,63.0,13,63.0,1,86.0,65.0,58.25,-21.0,C,2026-06-23
80,1,333,56,21,151,116,Course Page,52,86,193,2,0,5.946428571428571,41.625,0.3483483483483483,0.45345345345345345,15.0,81.77333333333333,100.0,65.0,67.0,15,79.3,0,86.0,78.0,81.15,-8.0,C,2026-06-23
81,1,511,76,38,129,125,Lecture Material,176,149,152,22,0,6.723684210526316,47.065789473684205,0.2446183953033268,0.25244618395303325,15.0,35.906666666666666,75.0,10.0,25.0,4,48.8,11,15.0,55.0,38.4,40.0,N,2026-06-23
82,1,657,66,29,253,82,Course Page,111,236,299,7,0,9.954545454545455,69.68181818181819,0.1248097412480974,0.3850837138508371,15.0,92.12666666666668,100.0,70.0,73.0,15,88.7,0,90.0,93.0,93.85,3.0,D,2026-06-23
83,1,325,50,23,92,61,Course Page,36,69,212,7,0,6.5,45.5,0.18769230769230769,0.28307692307692306,15.0,68.04,100.0,40.0,30.0,12,45.3,3,69.0,79.0,51.65,10.0,N,2026-06-23
84,1,353,46,24,160,45,Course Page,63,58,227,3,0,7.673913043478261,53.71739130434783,0.1274787535410765,0.45325779036827196,15.0,83.09333333333333,100.0,69.0,52.0,15,70.2,0,84.0,92.0,69.6,8.0,P,2026-06-23
85,1,191,35,19,87,43,Course Page,15,72,103,1,0,5.457142857142857,38.2,0.225130890052356,0.45549738219895286,15.0,69.76666666666667,100.0,0.0,21.0,10,0.0,5,79.0,100.0,15.5,21.0,N,2026-06-23
86,1,343,47,32,174,43,Course Page,84,66,165,16,0,7.297872340425532,51.08510638297872,0.12536443148688048,0.5072886297376094,12.0,57.76666666666667,100.0,20.0,30.0,8,68.1,4,65.0,43.333333333333336,66.05,-21.666666666666664,N,2026-06-23
87,1,120,14,16,27,13,Assignment,13,60,45,1,0,8.571428571428571,60.0,0.10833333333333334,0.225,14.0,59.17857142857143,100.0,0.0,41.0,9,56.0,5,55.0,75.0,49.0,20.0,SA,2026-06-23
88,1,109,19,12,27,28,Course Page,17,37,55,0,0,5.7368421052631575,40.1578947368421,0.25688073394495414,0.24770642201834864,9.0,74.33333333333333,100.0,0.0,62.0,7,86.5,2,75.0,0.0,84.75,0.0,C,2026-06-23
89,1,284,62,20,165,64,Assignment,25,144,100,4,0,4.580645161290323,32.064516129032256,0.22535211267605634,0.5809859154929577,8.0,14.0,38.0,0.0,9.0,0,38.0,8,0.0,0.0,28.0,0.0,N,2026-06-23
90,1,502,51,32,95,64,Course Page,81,171,227,15,0,9.843137254901961,68.90196078431373,0.12749003984063745,0.1892430278884462,15.0,87.90666666666667,100.0,79.0,73.0,15,82.55,0,92.0,89.0,80.775,-3.0,D,2026-06-23
91,1,311,51,28,149,41,Course Page,60,78,152,13,0,6.098039215686274,42.68627450980392,0.13183279742765272,0.4790996784565916,15.0,84.86,100.0,50.0,72.0,15,84.95,0,74.0,92.0,89.975,18.0,D,2026-06-23
92,1,488,51,41,75,94,Course Page,129,146,180,28,0,9.568627450980392,66.98039215686275,0.19262295081967212,0.15368852459016394,10.0,78.85,100.0,43.5,40.0,9,72.5,1,78.33333333333333,100.0,77.5,21.66666666666667,SA,2026-06-23
