student_key,course_key,snapshot_date,academic_period_key,total_events,active_days,unique_materials,after_hours_events,weekend_events,avg_events_per_active_day,events_per_week,weekend_ratio,after_hours_ratio,lecture_material_views,assignment_views,course_page_views,forum_views,quiz_views,top_material_type,no_activity_flag,risk_label
22,1,2026-07-07,2,1203,111,35,221,239,10.837837837837839,75.86486486486486,0.19866999168744803,0.18370739817123857,115,292,765,7,0,Course Page,0,0
23,1,2026-07-07,2,402,58,25,119,59,6.931034482758621,48.51724137931034,0.14676616915422885,0.2960199004975124,167,50,165,11,0,Lecture Material,0,0
24,1,2026-07-07,2,248,30,18,85,9,8.266666666666667,57.86666666666667,0.036290322580645164,0.34274193548387094,57,41,129,21,0,Course Page,0,1
25,1,2026-07-07,2,382,49,30,148,43,7.795918367346939,54.57142857142857,0.112565445026178,0.387434554973822,92,101,182,2,0,Course Page,0,1
26,1,2026-07-07,2,415,47,36,205,80,8.829787234042554,61.80851063829787,0.1927710843373494,0.4939759036144578,140,81,131,38,0,Lecture Material,0,1
27,1,2026-07-07,2,266,37,16,58,37,7.1891891891891895,50.32432432432432,0.13909774436090225,0.21804511278195488,75,62,128,0,0,Course Page,0,1
28,1,2026-07-07,2,7,3,4,3,0,2.3333333333333335,16.333333333333336,0.0,0.42857142857142855,0,3,4,0,0,Course Page,0,1
29,1,2026-07-07,2,379,49,36,83,71,7.73469387755102,54.142857142857146,0.18733509234828497,0.21899736147757257,70,131,147,19,0,Course Page,0,0
30,1,2026-07-07,2,111,26,17,40,35,4.269230769230769,29.884615384615383,0.3153153153153153,0.36036036036036034,14,41,49,3,0,Course Page,0,1
31,1,2026-07-07,2,362,46,36,114,38,7.869565217391305,55.08695652173913,0.10497237569060773,0.3149171270718232,89,117,130,11,0,Course Page,0,0
32,1,2026-07-07,2,450,59,49,32,54,7.627118644067797,53.389830508474574,0.12,0.07111111111111111,42,226,161,15,0,Assignment,0,0
33,1,2026-07-07,2,317,43,30,69,101,7.372093023255814,51.604651162790695,0.3186119873817035,0.21766561514195584,52,72,166,17,0,Course Page,0,1
34,1,2026-07-07,2,501,58,27,365,130,8.637931034482758,60.4655172413793,0.25948103792415167,0.7285429141716567,83,166,230,13,0,Course Page,0,1
35,1,2026-07-07,2,338,51,34,46,17,6.627450980392157,46.3921568627451,0.05029585798816568,0.13609467455621302,83,113,123,6,0,Course Page,0,1
36,1,2026-07-07,2,402,48,30,141,60,8.375,58.625,0.14925373134328357,0.35074626865671643,98,87,188,0,0,Course Page,0,0
37,1,2026-07-07,2,212,36,15,16,4,5.888888888888889,41.22222222222222,0.018867924528301886,0.07547169811320754,34,60,115,3,0,Course Page,0,0
