2026-07-14T05:04:47.850499+00:00 | run_id=feat_20260714T050447850499Z | status=completed | snapshot_date=2026-07-14 | academic_period_key=2 | rows_student=173 | rows_behaviour_pred=173 | rows_academic_pred=173
2026-07-14T17:30:21.349403+00:00 | run_id=feat_20260714T173021349403Z | status=completed | snapshot_date=2026-07-14 | academic_period_key=2 | rows_student=173 | rows_behaviour_pred=173 | rows_academic_pred=173
2026-07-15T17:30:11.252719+00:00 | run_id=feat_20260715T173011252719Z | status=completed | snapshot_date=2026-07-15 | academic_period_key=2 | rows_student=173 | rows_behaviour_pred=173 | rows_academic_pred=173
2026-07-16T16:55:01.102684+00:00 | run_id=feat_20260716T165501102684Z | status=completed | snapshot_date=2026-07-17 | academic_period_key=2 | rows_student=173 | rows_behaviour_pred=173 | rows_academic_pred=173
2026-07-16T17:05:20.837618+00:00 | run_id=feat_20260716T170520837618Z | status=completed | snapshot_date=2026-07-17 | academic_period_key=2 | rows_student=174 | rows_behaviour_pred=174 | rows_academic_pred=174
2026-07-16T17:30:14.428036+00:00 | run_id=feat_20260716T173014428036Z | status=completed | snapshot_date=2026-07-16 | academic_period_key=2 | rows_student=174 | rows_behaviour_pred=174 | rows_academic_pred=174
2026-07-17T17:30:24.508600+00:00 | run_id=feat_20260717T173024508600Z | status=completed | snapshot_date=2026-07-17 | academic_period_key=2 | rows_student=174 | rows_behaviour_pred=174 | rows_academic_pred=174
2026-07-18T09:05:53.080879+00:00 | run_id=feat_20260718T090553080879Z | status=completed | snapshot_date=2026-07-18 | academic_period_key=2 | rows_student=174 | rows_behaviour_pred=174 | rows_academic_pred=174
2026-07-18T17:30:46.089836+00:00 | run_id=feat_20260718T173046089836Z | status=completed | snapshot_date=2026-07-18 | academic_period_key=2 | rows_student=174 | rows_behaviour_pred=174 | rows_academic_pred=174
2026-07-19T05:24:25.861118+00:00 | run_id=feat_20260719T052425861118Z | status=completed | snapshot_date=2026-07-19 | academic_period_key=2 | rows_student=174 | rows_behaviour_pred=174 | rows_academic_pred=174
2026-07-19T05:28:19.348558+00:00 | run_id=feat_20260719T052819348558Z | status=completed | snapshot_date=2026-07-19 | academic_period_key=2 | rows_student=174 | rows_behaviour_pred=174 | rows_academic_pred=174
2026-07-19T17:30:42.274617+00:00 | run_id=feat_20260719T173042274617Z | status=completed | snapshot_date=2026-07-19 | academic_period_key=2 | rows_student=174 | rows_behaviour_pred=174 | rows_academic_pred=174
2026-07-20T17:30:11.031270+00:00 | run_id=feat_20260720T173011031270Z | status=completed | snapshot_date=2026-07-20 | academic_period_key=2 | rows_student=174 | rows_behaviour_pred=174 | rows_academic_pred=174
2026-07-21T12:34:38.133694+00:00 | run_id=feat_20260721T123438133694Z | status=completed | snapshot_date=2026-07-21 | academic_period_key=2 | rows_student=174 | rows_behaviour_pred=174 | rows_academic_pred=174
2026-07-21T12:37:29.819687+00:00 | run_id=feat_20260721T123729819687Z | status=completed | snapshot_date=2026-07-21 | academic_period_key=2 | rows_student=174 | rows_behaviour_pred=174 | rows_academic_pred=174
2026-07-21T12:46:51.202085+00:00 | run_id=feat_20260721T124651202085Z | status=completed | snapshot_date=2026-07-21 | academic_period_key=2 | rows_student=174 | rows_behaviour_pred=174 | rows_academic_pred=174
2026-07-21T12:48:12.273848+00:00 | run_id=feat_20260721T124812273848Z | status=completed | snapshot_date=2026-07-21 | academic_period_key=2 | rows_student=174 | rows_behaviour_pred=174 | rows_academic_pred=174
2026-07-21T12:49:44.086325+00:00 | run_id=feat_20260721T124944086325Z | status=completed | snapshot_date=2026-07-21 | academic_period_key=2 | rows_student=174 | rows_behaviour_pred=174 | rows_academic_pred=174
2026-07-21T12:50:33.065195+00:00 | run_id=feat_20260721T125033065195Z | status=completed | snapshot_date=2026-07-21 | academic_period_key=2 | rows_student=174 | rows_behaviour_pred=174 | rows_academic_pred=174
2026-07-21T17:30:11.834386+00:00 | run_id=feat_20260721T173011834386Z | status=completed | snapshot_date=2026-07-21 | academic_period_key=2 | rows_student=174 | rows_behaviour_pred=174 | rows_academic_pred=174
2026-07-22T17:30:11.863746+00:00 | run_id=feat_20260722T173011863746Z | status=completed | snapshot_date=2026-07-22 | academic_period_key=2 | rows_student=174 | rows_behaviour_pred=174 | rows_academic_pred=174
2026-07-23T17:30:12.961193+00:00 | run_id=feat_20260723T173012961193Z | status=completed | snapshot_date=2026-07-23 | academic_period_key=2 | rows_student=174 | rows_behaviour_pred=174 | rows_academic_pred=174
2026-07-24T17:30:10.979222+00:00 | run_id=feat_20260724T173010979222Z | status=completed | snapshot_date=2026-07-24 | academic_period_key=2 | rows_student=174 | rows_behaviour_pred=174 | rows_academic_pred=174
2026-07-25T17:30:12.569165+00:00 | run_id=feat_20260725T173012569165Z | status=completed | snapshot_date=2026-07-25 | academic_period_key=2 | rows_student=174 | rows_behaviour_pred=174 | rows_academic_pred=174
2026-07-26T17:30:11.832583+00:00 | run_id=feat_20260726T173011832583Z | status=completed | snapshot_date=2026-07-26 | academic_period_key=2 | rows_student=174 | rows_behaviour_pred=174 | rows_academic_pred=174
2026-07-27T17:30:12.919414+00:00 | run_id=feat_20260727T173012919414Z | status=completed | snapshot_date=2026-07-27 | academic_period_key=2 | rows_student=174 | rows_behaviour_pred=174 | rows_academic_pred=174
2026-07-28T17:30:12.101528+00:00 | run_id=feat_20260728T173012101528Z | status=completed | snapshot_date=2026-07-28 | academic_period_key=2 | rows_student=174 | rows_behaviour_pred=174 | rows_academic_pred=174
2026-07-29T17:30:11.418044+00:00 | run_id=feat_20260729T173011418044Z | status=completed | snapshot_date=2026-07-29 | academic_period_key=2 | rows_student=174 | rows_behaviour_pred=174 | rows_academic_pred=174
2026-07-30T17:30:11.671411+00:00 | run_id=feat_20260730T173011671411Z | status=completed | snapshot_date=2026-07-30 | academic_period_key=2 | rows_student=174 | rows_behaviour_pred=174 | rows_academic_pred=174
2026-07-31T17:30:12.171585+00:00 | run_id=feat_20260731T173012171585Z | status=completed | snapshot_date=2026-07-31 | academic_period_key=2 | rows_student=174 | rows_behaviour_pred=174 | rows_academic_pred=174
