student_key,course_key,total_events,active_days,unique_materials,after_hours_events,weekend_events,top_material_type,lecture_material_views,assignment_views,course_page_views,forum_views,quiz_views,avg_events_per_active_day,events_per_week,weekend_ratio,after_hours_ratio,snapshot_date,risk_label,ass_1_with_penalty_100,ass_2_100,ass_2_with_penalty_100,ass_ex_1,ass_ex_10,ass_ex_2,ass_ex_3,ass_ex_4,ass_ex_5,ass_ex_6,ass_ex_7,ass_ex_8,ass_ex_9,assignment_1_100,exam_100,rounded_total_100,total_100,weekly_lab_quizzes_100
21,1,268,41,40,101,55,Assignment,77,87,85,9,0,6.536585365853658,45.75609756097561,0.20522388059701493,0.376865671641791,2026-06-23,0,63.5,62.3,62.3,100.0,0.0,0.0,0.0,95.0,0.0,0.0,70.0,0.0,0.0,63.5,52.0,50.0,50.11,26.5
22,1,1203,111,36,221,239,Course Page,127,292,765,7,0,10.837837837837839,75.86486486486486,0.19866999168744803,0.18370739817123857,2026-06-23,0,100.0,88.13,88.13,100.0,95.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0,90.0,100.0,71.5,83.0,82.876,97.5
23,1,402,58,26,119,59,Lecture Material,174,50,165,11,0,6.931034482758621,48.51724137931034,0.14676616915422885,0.2960199004975124,2026-06-23,0,55.5,74.0,74.0,90.0,90.0,100.0,100.0,100.0,80.0,90.0,90.0,90.0,95.0,55.5,88.0,83.0,82.85,92.5
24,1,248,30,18,85,9,Course Page,57,41,129,21,0,8.266666666666667,57.86666666666667,0.036290322580645164,0.34274193548387094,2026-06-23,1,88.0,75.5,75.5,100.0,0.0,95.0,100.0,90.0,0.0,0.0,0.0,0.0,0.0,88.0,17.5,40.0,40.35,38.5
25,1,382,49,30,148,43,Course Page,92,101,182,2,0,7.795918367346939,54.57142857142857,0.112565445026178,0.387434554973822,2026-06-23,1,83.0,46.2,46.2,100.0,60.0,75.0,50.0,90.0,90.0,90.0,95.0,70.0,100.0,83.0,12.5,40.0,40.19,82.0
26,1,415,47,37,205,80,Lecture Material,156,81,131,38,0,8.829787234042554,61.80851063829787,0.1927710843373494,0.4939759036144578,2026-06-23,1,36.0,0.0,0.0,60.0,40.0,60.0,0.0,0.0,50.0,30.0,0.0,40.0,70.0,36.0,15.5,18.0,18.35,35.0
27,1,266,37,17,58,37,Course Page,76,62,128,0,0,7.1891891891891895,50.32432432432432,0.13909774436090225,0.21804511278195488,2026-06-23,1,42.0,46.45,46.45,80.0,0.0,60.0,70.0,30.0,60.0,60.0,50.0,40.0,0.0,42.0,4.0,24.0,24.49,45.0
28,1,7,3,4,3,0,Course Page,0,3,4,0,0,2.3333333333333335,16.333333333333336,0.0,0.42857142857142855,2026-06-23,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,2.0,1.9,9.5
29,1,379,49,37,83,71,Course Page,81,131,147,19,0,7.73469387755102,54.142857142857146,0.18733509234828497,0.21899736147757257,2026-06-23,0,58.0,56.05,56.05,100.0,100.0,80.0,70.0,95.0,70.0,100.0,70.0,70.0,0.0,58.0,54.0,59.0,59.11,75.5
30,1,111,26,18,40,35,Course Page,15,41,49,3,0,4.269230769230769,29.884615384615383,0.3153153153153153,0.36036036036036034,2026-06-23,1,66.5,5.5,5.5,95.0,0.0,70.0,20.0,25.0,0.0,0.0,0.0,0.0,0.0,66.5,10.5,17.0,17.2,21.0
31,1,362,46,37,114,38,Course Page,95,117,130,11,0,7.869565217391305,55.08695652173913,0.10497237569060773,0.3149171270718232,2026-06-23,0,95.0,65.8,65.8,100.0,80.0,100.0,90.0,98.0,99.0,90.0,95.0,95.0,90.0,95.0,61.5,72.0,72.15,93.7
32,1,450,59,50,32,54,Assignment,44,226,161,15,0,7.627118644067797,53.389830508474574,0.12,0.07111111111111111,2026-06-23,0,59.0,59.4,59.4,0.0,90.0,70.0,100.0,95.0,100.0,100.0,100.0,100.0,100.0,59.0,80.0,75.0,74.88,85.5
33,1,317,43,31,69,101,Course Page,56,72,166,17,0,7.372093023255814,51.604651162790695,0.3186119873817035,0.21766561514195584,2026-06-23,1,81.0,93.65,91.3,80.0,100.0,60.0,60.0,100.0,90.0,100.0,100.0,100.0,100.0,81.0,10.0,49.0,49.16,89.0
34,1,501,58,28,365,130,Course Page,90,166,230,13,0,8.637931034482758,60.4655172413793,0.25948103792415167,0.7285429141716567,2026-06-23,1,73.5,83.0,83.0,100.0,0.0,100.0,95.0,90.0,20.0,90.0,100.0,0.0,30.0,73.5,15.5,44.0,44.2,62.5
35,1,338,51,34,46,17,Course Page,83,113,123,6,0,6.627450980392157,46.3921568627451,0.05029585798816568,0.13609467455621302,2026-06-23,1,78.0,70.35,70.35,85.0,95.0,100.0,79.0,80.0,95.0,75.0,100.0,90.0,90.0,78.0,17.0,48.0,48.15,88.9
36,1,402,48,30,141,60,Course Page,98,87,188,0,0,8.375,58.625,0.14925373134328357,0.35074626865671643,2026-06-23,0,85.0,64.5,64.5,90.0,50.0,35.0,40.0,85.0,85.0,90.0,65.0,60.0,50.0,85.0,43.25,56.0,56.025,65.0
37,1,212,36,15,16,4,Course Page,34,60,115,3,0,5.888888888888889,41.22222222222222,0.018867924528301886,0.07547169811320754,2026-06-23,0,80.0,81.4,81.4,95.0,80.0,55.0,80.0,90.0,75.0,75.0,0.0,65.0,75.0,80.0,32.25,54.0,54.205,69.0
38,1,846,84,39,256,166,Course Page,151,242,403,20,0,10.071428571428571,70.5,0.19621749408983452,0.30260047281323876,2026-06-23,1,92.0,79.65,79.65,60.0,45.0,60.0,60.0,40.0,90.0,35.0,75.0,70.0,70.0,92.0,16.0,45.0,45.23,60.5
39,1,211,50,37,41,40,Lecture Material,70,58,59,6,0,4.22,29.54,0.1895734597156398,0.1943127962085308,2026-06-23,0,69.0,61.57,61.57,100.0,80.0,90.0,100.0,80.0,100.0,100.0,85.0,80.0,65.0,69.0,67.0,70.0,70.314,88.0
40,1,321,40,22,154,30,Assignment,31,178,111,1,0,8.025,56.175,0.09345794392523364,0.4797507788161994,2026-06-23,1,52.0,19.0,19.0,100.0,60.0,50.0,75.0,90.0,60.0,50.0,0.0,80.0,100.0,52.0,24.0,34.0,34.3,66.5
41,1,409,43,27,225,101,Course Page,80,122,196,10,0,9.511627906976743,66.5813953488372,0.2469437652811736,0.5501222493887531,2026-06-23,1,0.0,46.0,46.0,0.0,0.0,60.0,50.0,0.0,50.0,0.0,60.0,0.0,50.0,0.0,0.0,15.0,14.6,27.0
42,1,266,42,20,128,22,Assignment,34,130,101,1,0,6.333333333333333,44.333333333333336,0.08270676691729323,0.48120300751879697,2026-06-23,0,84.0,60.0,60.0,60.0,100.0,100.0,100.0,95.0,100.0,0.0,100.0,80.0,0.0,84.0,54.0,62.0,62.1,73.5
43,1,611,63,36,334,99,Course Page,113,77,402,1,0,9.698412698412698,67.88888888888889,0.16202945990180032,0.546644844517185,2026-06-23,1,61.0,85.95,85.95,45.0,100.0,100.0,0.0,95.0,100.0,100.0,70.0,70.0,100.0,61.0,8.5,43.0,43.14,78.0
